date,value
2022-11-29,13.063488181972218
2022-11-30,24.374674464299755
2022-12-01,12.645879220326197
2022-12-02,14.078270234834905
2022-12-03,17.850220375832325
2022-12-04,13.065783237996895
2022-12-05,15.240454174116469
2022-12-06,20.045123010057026
2022-12-07,12.413240593047558
2022-12-08,12.518961774177539
2022-12-09,13.484009862101686
2022-12-10,18.380873215139452
2022-12-11,20.450556074666927
2022-12-12,26.811829679424836
2022-12-13,15.03908353821155
2022-12-14,14.863757171458714
